Date Time, Prediction
2007-10-26 00:00,2.719
2007-10-26 00:06,2.750
2007-10-26 00:12,2.778
2007-10-26 00:18,2.803
2007-10-26 00:24,2.824
2007-10-26 00:30,2.843
2007-10-26 00:36,2.858
2007-10-26 00:42,2.869
2007-10-26 00:48,2.877
2007-10-26 00:54,2.880
2007-10-26 01:00,2.880
2007-10-26 01:06,2.875
2007-10-26 01:12,2.866
2007-10-26 01:18,2.853
2007-10-26 01:24,2.836
2007-10-26 01:30,2.814
2007-10-26 01:36,2.788
2007-10-26 01:42,2.757
2007-10-26 01:48,2.723
2007-10-26 01:54,2.684
2007-10-26 02:00,2.642
2007-10-26 02:06,2.595
2007-10-26 02:12,2.545
2007-10-26 02:18,2.492
2007-10-26 02:24,2.435
2007-10-26 02:30,2.376
2007-10-26 02:36,2.314
2007-10-26 02:42,2.249
2007-10-26 02:48,2.182
2007-10-26 02:54,2.114
2007-10-26 03:00,2.044
2007-10-26 03:06,1.973
2007-10-26 03:12,1.901
2007-10-26 03:18,1.828
2007-10-26 03:24,1.755
2007-10-26 03:30,1.681
2007-10-26 03:36,1.608
2007-10-26 03:42,1.535
2007-10-26 03:48,1.463
2007-10-26 03:54,1.391
2007-10-26 04:00,1.321
2007-10-26 04:06,1.251
2007-10-26 04:12,1.182
2007-10-26 04:18,1.115
2007-10-26 04:24,1.050
2007-10-26 04:30,0.985
2007-10-26 04:36,0.923
2007-10-26 04:42,0.862
2007-10-26 04:48,0.802
2007-10-26 04:54,0.744
2007-10-26 05:00,0.688
2007-10-26 05:06,0.634
2007-10-26 05:12,0.581
2007-10-26 05:18,0.531
2007-10-26 05:24,0.482
2007-10-26 05:30,0.435
2007-10-26 05:36,0.390
2007-10-26 05:42,0.346
2007-10-26 05:48,0.305
2007-10-26 05:54,0.266
2007-10-26 06:00,0.229
2007-10-26 06:06,0.194
2007-10-26 06:12,0.162
2007-10-26 06:18,0.132
2007-10-26 06:24,0.105
2007-10-26 06:30,0.080
2007-10-26 06:36,0.058
2007-10-26 06:42,0.039
2007-10-26 06:48,0.024
2007-10-26 06:54,0.011
2007-10-26 07:00,0.002
2007-10-26 07:06,-0.004
2007-10-26 07:12,-0.007
2007-10-26 07:18,-0.005
2007-10-26 07:24,0.000
2007-10-26 07:30,0.008
2007-10-26 07:36,0.021
2007-10-26 07:42,0.037
2007-10-26 07:48,0.057
2007-10-26 07:54,0.082
2007-10-26 08:00,0.109
2007-10-26 08:06,0.141
2007-10-26 08:12,0.176
2007-10-26 08:18,0.215
2007-10-26 08:24,0.257
2007-10-26 08:30,0.303
2007-10-26 08:36,0.351
2007-10-26 08:42,0.403
2007-10-26 08:48,0.457
2007-10-26 08:54,0.514
2007-10-26 09:00,0.573
2007-10-26 09:06,0.635
2007-10-26 09:12,0.698
2007-10-26 09:18,0.763
2007-10-26 09:24,0.829
2007-10-26 09:30,0.897
2007-10-26 09:36,0.966
2007-10-26 09:42,1.035
2007-10-26 09:48,1.105
2007-10-26 09:54,1.176
2007-10-26 10:00,1.247
2007-10-26 10:06,1.318
2007-10-26 10:12,1.390
2007-10-26 10:18,1.461
2007-10-26 10:24,1.531
2007-10-26 10:30,1.602
2007-10-26 10:36,1.672
2007-10-26 10:42,1.741
2007-10-26 10:48,1.810
2007-10-26 10:54,1.879
2007-10-26 11:00,1.946
2007-10-26 11:06,2.013
2007-10-26 11:12,2.078
2007-10-26 11:18,2.143
2007-10-26 11:24,2.207
2007-10-26 11:30,2.269
2007-10-26 11:36,2.331
2007-10-26 11:42,2.390
2007-10-26 11:48,2.449
2007-10-26 11:54,2.506
2007-10-26 12:00,2.561
2007-10-26 12:06,2.614
2007-10-26 12:12,2.666
2007-10-26 12:18,2.715
2007-10-26 12:24,2.761
2007-10-26 12:30,2.806
2007-10-26 12:36,2.847
2007-10-26 12:42,2.885
2007-10-26 12:48,2.921
2007-10-26 12:54,2.953
2007-10-26 13:00,2.981
2007-10-26 13:06,3.006
2007-10-26 13:12,3.027
2007-10-26 13:18,3.044
2007-10-26 13:24,3.057
2007-10-26 13:30,3.066
2007-10-26 13:36,3.070
2007-10-26 13:42,3.069
2007-10-26 13:48,3.064
2007-10-26 13:54,3.055
2007-10-26 14:00,3.041
2007-10-26 14:06,3.023
2007-10-26 14:12,3.000
2007-10-26 14:18,2.973
2007-10-26 14:24,2.941
2007-10-26 14:30,2.905
2007-10-26 14:36,2.866
2007-10-26 14:42,2.823
2007-10-26 14:48,2.776
2007-10-26 14:54,2.726
2007-10-26 15:00,2.673
2007-10-26 15:06,2.617
2007-10-26 15:12,2.558
2007-10-26 15:18,2.498
2007-10-26 15:24,2.435
2007-10-26 15:30,2.371
2007-10-26 15:36,2.305
2007-10-26 15:42,2.239
2007-10-26 15:48,2.171
2007-10-26 15:54,2.103
2007-10-26 16:00,2.035
2007-10-26 16:06,1.966
2007-10-26 16:12,1.898
2007-10-26 16:18,1.830
2007-10-26 16:24,1.763
2007-10-26 16:30,1.696
2007-10-26 16:36,1.631
2007-10-26 16:42,1.566
2007-10-26 16:48,1.502
2007-10-26 16:54,1.439
2007-10-26 17:00,1.378
2007-10-26 17:06,1.317
2007-10-26 17:12,1.259
2007-10-26 17:18,1.201
2007-10-26 17:24,1.145
2007-10-26 17:30,1.090
2007-10-26 17:36,1.037
2007-10-26 17:42,0.986
2007-10-26 17:48,0.936
2007-10-26 17:54,0.887
2007-10-26 18:00,0.841
2007-10-26 18:06,0.796
2007-10-26 18:12,0.752
2007-10-26 18:18,0.711
2007-10-26 18:24,0.672
2007-10-26 18:30,0.634
2007-10-26 18:36,0.599
2007-10-26 18:42,0.566
2007-10-26 18:48,0.535
2007-10-26 18:54,0.507
2007-10-26 19:00,0.482
2007-10-26 19:06,0.459
2007-10-26 19:12,0.439
2007-10-26 19:18,0.423
2007-10-26 19:24,0.409
2007-10-26 19:30,0.399
2007-10-26 19:36,0.392
2007-10-26 19:42,0.389
2007-10-26 19:48,0.389
2007-10-26 19:54,0.393
2007-10-26 20:00,0.401
2007-10-26 20:06,0.412
2007-10-26 20:12,0.427
2007-10-26 20:18,0.446
2007-10-26 20:24,0.469
2007-10-26 20:30,0.495
2007-10-26 20:36,0.525
2007-10-26 20:42,0.558
2007-10-26 20:48,0.595
2007-10-26 20:54,0.635
2007-10-26 21:00,0.677
2007-10-26 21:06,0.723
2007-10-26 21:12,0.772
2007-10-26 21:18,0.822
2007-10-26 21:24,0.876
2007-10-26 21:30,0.931
2007-10-26 21:36,0.988
2007-10-26 21:42,1.046
2007-10-26 21:48,1.106
2007-10-26 21:54,1.167
2007-10-26 22:00,1.229
2007-10-26 22:06,1.291
2007-10-26 22:12,1.354
2007-10-26 22:18,1.417
2007-10-26 22:24,1.481
2007-10-26 22:30,1.544
2007-10-26 22:36,1.607
2007-10-26 22:42,1.670
2007-10-26 22:48,1.732
2007-10-26 22:54,1.794
2007-10-26 23:00,1.855
2007-10-26 23:06,1.915
2007-10-26 23:12,1.975
2007-10-26 23:18,2.033
2007-10-26 23:24,2.090
2007-10-26 23:30,2.147
2007-10-26 23:36,2.202
2007-10-26 23:42,2.256
2007-10-26 23:48,2.308
2007-10-26 23:54,2.359
2007-10-27 00:00,2.409
2007-10-27 00:06,2.457
2007-10-27 00:12,2.504
2007-10-27 00:18,2.548
2007-10-27 00:24,2.591
2007-10-27 00:30,2.632
2007-10-27 00:36,2.670
2007-10-27 00:42,2.706
2007-10-27 00:48,2.740
2007-10-27 00:54,2.771
2007-10-27 01:00,2.799
2007-10-27 01:06,2.824
2007-10-27 01:12,2.846
2007-10-27 01:18,2.865
2007-10-27 01:24,2.880
2007-10-27 01:30,2.892
2007-10-27 01:36,2.899
2007-10-27 01:42,2.903
2007-10-27 01:48,2.902
2007-10-27 01:54,2.898
2007-10-27 02:00,2.889
2007-10-27 02:06,2.876
2007-10-27 02:12,2.858
2007-10-27 02:18,2.836
2007-10-27 02:24,2.810
2007-10-27 02:30,2.779
2007-10-27 02:36,2.744
2007-10-27 02:42,2.705
2007-10-27 02:48,2.662
2007-10-27 02:54,2.615
2007-10-27 03:00,2.565
2007-10-27 03:06,2.511
2007-10-27 03:12,2.454
2007-10-27 03:18,2.393
2007-10-27 03:24,2.331
2007-10-27 03:30,2.265
2007-10-27 03:36,2.198
2007-10-27 03:42,2.128
2007-10-27 03:48,2.057
2007-10-27 03:54,1.985
2007-10-27 04:00,1.912
2007-10-27 04:06,1.838
2007-10-27 04:12,1.764
2007-10-27 04:18,1.689
2007-10-27 04:24,1.615
2007-10-27 04:30,1.541
2007-10-27 04:36,1.467
2007-10-27 04:42,1.395
2007-10-27 04:48,1.323
2007-10-27 04:54,1.252
2007-10-27 05:00,1.182
2007-10-27 05:06,1.114
2007-10-27 05:12,1.047
2007-10-27 05:18,0.982
2007-10-27 05:24,0.918
2007-10-27 05:30,0.856
2007-10-27 05:36,0.795
2007-10-27 05:42,0.737
2007-10-27 05:48,0.680
2007-10-27 05:54,0.624
2007-10-27 06:00,0.571
2007-10-27 06:06,0.519
2007-10-27 06:12,0.469
2007-10-27 06:18,0.421
2007-10-27 06:24,0.375
2007-10-27 06:30,0.331
2007-10-27 06:36,0.289
2007-10-27 06:42,0.248
2007-10-27 06:48,0.210
2007-10-27 06:54,0.174
2007-10-27 07:00,0.141
2007-10-27 07:06,0.110
2007-10-27 07:12,0.081
2007-10-27 07:18,0.055
2007-10-27 07:24,0.031
2007-10-27 07:30,0.011
2007-10-27 07:36,-0.007
2007-10-27 07:42,-0.021
2007-10-27 07:48,-0.032
2007-10-27 07:54,-0.040
2007-10-27 08:00,-0.044
2007-10-27 08:06,-0.044
2007-10-27 08:12,-0.041
2007-10-27 08:18,-0.034
2007-10-27 08:24,-0.024
2007-10-27 08:30,-0.009
2007-10-27 08:36,0.009
2007-10-27 08:42,0.032
2007-10-27 08:48,0.058
2007-10-27 08:54,0.088
2007-10-27 09:00,0.122
2007-10-27 09:06,0.159
2007-10-27 09:12,0.200
2007-10-27 09:18,0.244
2007-10-27 09:24,0.292
2007-10-27 09:30,0.343
2007-10-27 09:36,0.396
2007-10-27 09:42,0.452
2007-10-27 09:48,0.511
2007-10-27 09:54,0.572
2007-10-27 10:00,0.635
2007-10-27 10:06,0.700
2007-10-27 10:12,0.767
2007-10-27 10:18,0.835
2007-10-27 10:24,0.904
2007-10-27 10:30,0.974
2007-10-27 10:36,1.045
2007-10-27 10:42,1.117
2007-10-27 10:48,1.189
2007-10-27 10:54,1.261
2007-10-27 11:00,1.334
2007-10-27 11:06,1.406
2007-10-27 11:12,1.478
2007-10-27 11:18,1.550
2007-10-27 11:24,1.621
2007-10-27 11:30,1.692
2007-10-27 11:36,1.763
2007-10-27 11:42,1.832
2007-10-27 11:48,1.901
2007-10-27 11:54,1.970
2007-10-27 12:00,2.037
2007-10-27 12:06,2.103
2007-10-27 12:12,2.168
2007-10-27 12:18,2.232
2007-10-27 12:24,2.295
2007-10-27 12:30,2.356
2007-10-27 12:36,2.416
2007-10-27 12:42,2.474
2007-10-27 12:48,2.531
2007-10-27 12:54,2.585
2007-10-27 13:00,2.638
2007-10-27 13:06,2.688
2007-10-27 13:12,2.736
2007-10-27 13:18,2.782
2007-10-27 13:24,2.824
2007-10-27 13:30,2.864
2007-10-27 13:36,2.901
2007-10-27 13:42,2.934
2007-10-27 13:48,2.964
2007-10-27 13:54,2.990
2007-10-27 14:00,3.013
2007-10-27 14:06,3.031
2007-10-27 14:12,3.045
2007-10-27 14:18,3.055
2007-10-27 14:24,3.061
2007-10-27 14:30,3.062
2007-10-27 14:36,3.059
2007-10-27 14:42,3.051
2007-10-27 14:48,3.038
2007-10-27 14:54,3.021
2007-10-27 15:00,3.000
2007-10-27 15:06,2.974
2007-10-27 15:12,2.944
2007-10-27 15:18,2.910
2007-10-27 15:24,2.872
2007-10-27 15:30,2.830
2007-10-27 15:36,2.785
2007-10-27 15:42,2.736
2007-10-27 15:48,2.684
2007-10-27 15:54,2.629
2007-10-27 16:00,2.572
2007-10-27 16:06,2.513
2007-10-27 16:12,2.452
2007-10-27 16:18,2.389
2007-10-27 16:24,2.324
2007-10-27 16:30,2.259
2007-10-27 16:36,2.192
2007-10-27 16:42,2.126
2007-10-27 16:48,2.058
2007-10-27 16:54,1.991
2007-10-27 17:00,1.924
2007-10-27 17:06,1.857
2007-10-27 17:12,1.791
2007-10-27 17:18,1.725
2007-10-27 17:24,1.661
2007-10-27 17:30,1.597
2007-10-27 17:36,1.534
2007-10-27 17:42,1.472
2007-10-27 17:48,1.412
2007-10-27 17:54,1.353
2007-10-27 18:00,1.295
2007-10-27 18:06,1.238
2007-10-27 18:12,1.183
2007-10-27 18:18,1.130
2007-10-27 18:24,1.077
2007-10-27 18:30,1.027
2007-10-27 18:36,0.978
2007-10-27 18:42,0.930
2007-10-27 18:48,0.884
2007-10-27 18:54,0.839
2007-10-27 19:00,0.797
2007-10-27 19:06,0.756
2007-10-27 19:12,0.716
2007-10-27 19:18,0.679
2007-10-27 19:24,0.644
2007-10-27 19:30,0.611
2007-10-27 19:36,0.580
2007-10-27 19:42,0.552
2007-10-27 19:48,0.526
2007-10-27 19:54,0.502
2007-10-27 20:00,0.482
2007-10-27 20:06,0.464
2007-10-27 20:12,0.449
2007-10-27 20:18,0.438
2007-10-27 20:24,0.430
2007-10-27 20:30,0.425
2007-10-27 20:36,0.423
2007-10-27 20:42,0.426
2007-10-27 20:48,0.431
2007-10-27 20:54,0.441
2007-10-27 21:00,0.454
2007-10-27 21:06,0.471
2007-10-27 21:12,0.492
2007-10-27 21:18,0.516
2007-10-27 21:24,0.544
2007-10-27 21:30,0.575
2007-10-27 21:36,0.609
2007-10-27 21:42,0.647
2007-10-27 21:48,0.688
2007-10-27 21:54,0.732
2007-10-27 22:00,0.778
2007-10-27 22:06,0.827
2007-10-27 22:12,0.878
2007-10-27 22:18,0.932
2007-10-27 22:24,0.987
2007-10-27 22:30,1.044
2007-10-27 22:36,1.102
2007-10-27 22:42,1.161
2007-10-27 22:48,1.222
2007-10-27 22:54,1.283
2007-10-27 23:00,1.345
2007-10-27 23:06,1.407
2007-10-27 23:12,1.469
2007-10-27 23:18,1.531
2007-10-27 23:24,1.593
2007-10-27 23:30,1.655
2007-10-27 23:36,1.716
2007-10-27 23:42,1.777
2007-10-27 23:48,1.837
2007-10-27 23:54,1.896
2007-10-28 00:00,1.955
2007-10-28 00:06,2.012
2007-10-28 00:12,2.069
2007-10-28 00:18,2.124
2007-10-28 00:24,2.178
2007-10-28 00:30,2.231
2007-10-28 00:36,2.283
2007-10-28 00:42,2.333
2007-10-28 00:48,2.382
2007-10-28 00:54,2.430
2007-10-28 01:00,2.475
2007-10-28 01:06,2.519
2007-10-28 01:12,2.561
2007-10-28 01:18,2.601
2007-10-28 01:24,2.639
2007-10-28 01:30,2.675
2007-10-28 01:36,2.708
2007-10-28 01:42,2.739
2007-10-28 01:48,2.767
2007-10-28 01:54,2.792
2007-10-28 02:00,2.814
2007-10-28 02:06,2.833
2007-10-28 02:12,2.848
2007-10-28 02:18,2.860
2007-10-28 02:24,2.868
2007-10-28 02:30,2.872
2007-10-28 02:36,2.873
2007-10-28 02:42,2.869
2007-10-28 02:48,2.861
2007-10-28 02:54,2.849
2007-10-28 03:00,2.833
2007-10-28 03:06,2.813
2007-10-28 03:12,2.788
2007-10-28 03:18,2.759
2007-10-28 03:24,2.726
2007-10-28 03:30,2.689
2007-10-28 03:36,2.648
2007-10-28 03:42,2.603
2007-10-28 03:48,2.554
2007-10-28 03:54,2.503
2007-10-28 04:00,2.448
2007-10-28 04:06,2.390
2007-10-28 04:12,2.329
2007-10-28 04:18,2.266
2007-10-28 04:24,2.201
2007-10-28 04:30,2.134
2007-10-28 04:36,2.065
2007-10-28 04:42,1.996
2007-10-28 04:48,1.925
2007-10-28 04:54,1.853
2007-10-28 05:00,1.781
2007-10-28 05:06,1.709
2007-10-28 05:12,1.637
2007-10-28 05:18,1.565
2007-10-28 05:24,1.494
2007-10-28 05:30,1.423
2007-10-28 05:36,1.353
2007-10-28 05:42,1.285
2007-10-28 05:48,1.217
2007-10-28 05:54,1.151
2007-10-28 06:00,1.086
2007-10-28 06:06,1.022
2007-10-28 06:12,0.960
2007-10-28 06:18,0.900
2007-10-28 06:24,0.841
2007-10-28 06:30,0.784
2007-10-28 06:36,0.728
2007-10-28 06:42,0.674
2007-10-28 06:48,0.622
2007-10-28 06:54,0.571
2007-10-28 07:00,0.522
2007-10-28 07:06,0.475
2007-10-28 07:12,0.429
2007-10-28 07:18,0.386
2007-10-28 07:24,0.344
2007-10-28 07:30,0.303
2007-10-28 07:36,0.265
2007-10-28 07:42,0.229
2007-10-28 07:48,0.195
2007-10-28 07:54,0.163
2007-10-28 08:00,0.133
2007-10-28 08:06,0.106
2007-10-28 08:12,0.081
2007-10-28 08:18,0.059
2007-10-28 08:24,0.040
2007-10-28 08:30,0.024
2007-10-28 08:36,0.011
2007-10-28 08:42,0.000
2007-10-28 08:48,-0.006
2007-10-28 08:54,-0.010
2007-10-28 09:00,-0.009
2007-10-28 09:06,-0.005
2007-10-28 09:12,0.002
2007-10-28 09:18,0.014
2007-10-28 09:24,0.029
2007-10-28 09:30,0.048
2007-10-28 09:36,0.070
2007-10-28 09:42,0.097
2007-10-28 09:48,0.127
2007-10-28 09:54,0.161
2007-10-28 10:00,0.198
2007-10-28 10:06,0.239
2007-10-28 10:12,0.283
2007-10-28 10:18,0.330
2007-10-28 10:24,0.380
2007-10-28 10:30,0.433
2007-10-28 10:36,0.489
2007-10-28 10:42,0.547
2007-10-28 10:48,0.607
2007-10-28 10:54,0.669
2007-10-28 11:00,0.732
2007-10-28 11:06,0.798
2007-10-28 11:12,0.864
2007-10-28 11:18,0.932
2007-10-28 11:24,1.000
2007-10-28 11:30,1.069
2007-10-28 11:36,1.139
2007-10-28 11:42,1.209
2007-10-28 11:48,1.279
2007-10-28 11:54,1.350
2007-10-28 12:00,1.420
2007-10-28 12:06,1.490
2007-10-28 12:12,1.559
2007-10-28 12:18,1.628
2007-10-28 12:24,1.697
2007-10-28 12:30,1.765
2007-10-28 12:36,1.832
2007-10-28 12:42,1.899
2007-10-28 12:48,1.965
2007-10-28 12:54,2.029
2007-10-28 13:00,2.093
2007-10-28 13:06,2.156
2007-10-28 13:12,2.217
2007-10-28 13:18,2.277
2007-10-28 13:24,2.336
2007-10-28 13:30,2.393
2007-10-28 13:36,2.449
2007-10-28 13:42,2.502
2007-10-28 13:48,2.554
2007-10-28 13:54,2.604
2007-10-28 14:00,2.652
2007-10-28 14:06,2.697
2007-10-28 14:12,2.740
2007-10-28 14:18,2.779
2007-10-28 14:24,2.816
2007-10-28 14:30,2.850
2007-10-28 14:36,2.881
2007-10-28 14:42,2.908
2007-10-28 14:48,2.931
2007-10-28 14:54,2.951
2007-10-28 15:00,2.966
2007-10-28 15:06,2.978
2007-10-28 15:12,2.985
2007-10-28 15:18,2.988
2007-10-28 15:24,2.987
2007-10-28 15:30,2.982
2007-10-28 15:36,2.972
2007-10-28 15:42,2.957
2007-10-28 15:48,2.939
2007-10-28 15:54,2.916
2007-10-28 16:00,2.889
2007-10-28 16:06,2.858
2007-10-28 16:12,2.824
2007-10-28 16:18,2.785
2007-10-28 16:24,2.743
2007-10-28 16:30,2.698
2007-10-28 16:36,2.650
2007-10-28 16:42,2.599
2007-10-28 16:48,2.546
2007-10-28 16:54,2.491
2007-10-28 17:00,2.433
2007-10-28 17:06,2.374
2007-10-28 17:12,2.314
2007-10-28 17:18,2.252
2007-10-28 17:24,2.190
2007-10-28 17:30,2.127
2007-10-28 17:36,2.064
2007-10-28 17:42,2.001
2007-10-28 17:48,1.937
2007-10-28 17:54,1.875
2007-10-28 18:00,1.812
2007-10-28 18:06,1.750
2007-10-28 18:12,1.689
2007-10-28 18:18,1.629
2007-10-28 18:24,1.570
2007-10-28 18:30,1.512
2007-10-28 18:36,1.455
2007-10-28 18:42,1.399
2007-10-28 18:48,1.345
2007-10-28 18:54,1.292
2007-10-28 19:00,1.240
2007-10-28 19:06,1.189
2007-10-28 19:12,1.140
2007-10-28 19:18,1.091
2007-10-28 19:24,1.045
2007-10-28 19:30,0.999
2007-10-28 19:36,0.955
2007-10-28 19:42,0.913
2007-10-28 19:48,0.872
2007-10-28 19:54,0.832
2007-10-28 20:00,0.795
2007-10-28 20:06,0.758
2007-10-28 20:12,0.724
2007-10-28 20:18,0.691
2007-10-28 20:24,0.661
2007-10-28 20:30,0.632
2007-10-28 20:36,0.606
2007-10-28 20:42,0.582
2007-10-28 20:48,0.560
2007-10-28 20:54,0.542
2007-10-28 21:00,0.526
2007-10-28 21:06,0.512
2007-10-28 21:12,0.502
2007-10-28 21:18,0.495
2007-10-28 21:24,0.492
2007-10-28 21:30,0.491
2007-10-28 21:36,0.494
2007-10-28 21:42,0.501
2007-10-28 21:48,0.511
2007-10-28 21:54,0.525
2007-10-28 22:00,0.542
2007-10-28 22:06,0.562
2007-10-28 22:12,0.586
2007-10-28 22:18,0.614
2007-10-28 22:24,0.645
2007-10-28 22:30,0.678
2007-10-28 22:36,0.715
2007-10-28 22:42,0.755
2007-10-28 22:48,0.797
2007-10-28 22:54,0.842
2007-10-28 23:00,0.890
2007-10-28 23:06,0.939
2007-10-28 23:12,0.990
2007-10-28 23:18,1.043
2007-10-28 23:24,1.098
2007-10-28 23:30,1.153
2007-10-28 23:36,1.210
2007-10-28 23:42,1.267
2007-10-28 23:48,1.325
2007-10-28 23:54,1.384
2007-10-29 00:00,1.442
2007-10-29 00:06,1.501
2007-10-29 00:12,1.559
2007-10-29 00:18,1.618
2007-10-29 00:24,1.676
2007-10-29 00:30,1.733
2007-10-29 00:36,1.790
2007-10-29 00:42,1.846
2007-10-29 00:48,1.902
2007-10-29 00:54,1.956
2007-10-29 01:00,2.010
2007-10-29 01:06,2.062
2007-10-29 01:12,2.114
2007-10-29 01:18,2.164
2007-10-29 01:24,2.213
2007-10-29 01:30,2.261
2007-10-29 01:36,2.308
2007-10-29 01:42,2.353
2007-10-29 01:48,2.396
2007-10-29 01:54,2.438
2007-10-29 02:00,2.479
2007-10-29 02:06,2.517
2007-10-29 02:12,2.554
2007-10-29 02:18,2.589
2007-10-29 02:24,2.621
2007-10-29 02:30,2.651
2007-10-29 02:36,2.679
2007-10-29 02:42,2.704
2007-10-29 02:48,2.726
2007-10-29 02:54,2.745
2007-10-29 03:00,2.762
2007-10-29 03:06,2.775
2007-10-29 03:12,2.784
2007-10-29 03:18,2.790
2007-10-29 03:24,2.793
2007-10-29 03:30,2.791
2007-10-29 03:36,2.786
2007-10-29 03:42,2.777
2007-10-29 03:48,2.764
2007-10-29 03:54,2.746
2007-10-29 04:00,2.725
2007-10-29 04:06,2.700
2007-10-29 04:12,2.671
2007-10-29 04:18,2.639
2007-10-29 04:24,2.602
2007-10-29 04:30,2.562
2007-10-29 04:36,2.518
2007-10-29 04:42,2.472
2007-10-29 04:48,2.422
2007-10-29 04:54,2.369
2007-10-29 05:00,2.314
2007-10-29 05:06,2.256
2007-10-29 05:12,2.197
2007-10-29 05:18,2.135
2007-10-29 05:24,2.072
2007-10-29 05:30,2.008
2007-10-29 05:36,1.942
2007-10-29 05:42,1.876
2007-10-29 05:48,1.810
2007-10-29 05:54,1.743
2007-10-29 06:00,1.677
2007-10-29 06:06,1.610
2007-10-29 06:12,1.544
2007-10-29 06:18,1.479
2007-10-29 06:24,1.414
2007-10-29 06:30,1.350
2007-10-29 06:36,1.287
2007-10-29 06:42,1.226
2007-10-29 06:48,1.165
2007-10-29 06:54,1.106
2007-10-29 07:00,1.048
2007-10-29 07:06,0.992
2007-10-29 07:12,0.937
2007-10-29 07:18,0.883
2007-10-29 07:24,0.831
2007-10-29 07:30,0.780
2007-10-29 07:36,0.731
2007-10-29 07:42,0.683
2007-10-29 07:48,0.636
2007-10-29 07:54,0.591
2007-10-29 08:00,0.547
2007-10-29 08:06,0.505
2007-10-29 08:12,0.464
2007-10-29 08:18,0.425
2007-10-29 08:24,0.387
2007-10-29 08:30,0.351
2007-10-29 08:36,0.317
2007-10-29 08:42,0.285
2007-10-29 08:48,0.254
2007-10-29 08:54,0.226
2007-10-29 09:00,0.200
2007-10-29 09:06,0.176
2007-10-29 09:12,0.155
2007-10-29 09:18,0.136
2007-10-29 09:24,0.120
2007-10-29 09:30,0.107
2007-10-29 09:36,0.097
2007-10-29 09:42,0.090
2007-10-29 09:48,0.086
2007-10-29 09:54,0.086
2007-10-29 10:00,0.089
2007-10-29 10:06,0.096
2007-10-29 10:12,0.106
2007-10-29 10:18,0.120
2007-10-29 10:24,0.138
2007-10-29 10:30,0.159
2007-10-29 10:36,0.184
2007-10-29 10:42,0.212
2007-10-29 10:48,0.244
2007-10-29 10:54,0.279
2007-10-29 11:00,0.317
2007-10-29 11:06,0.359
2007-10-29 11:12,0.403
2007-10-29 11:18,0.450
2007-10-29 11:24,0.500
2007-10-29 11:30,0.552
2007-10-29 11:36,0.606
2007-10-29 11:42,0.663
2007-10-29 11:48,0.721
2007-10-29 11:54,0.780
2007-10-29 12:00,0.841
2007-10-29 12:06,0.904
2007-10-29 12:12,0.967
2007-10-29 12:18,1.031
2007-10-29 12:24,1.095
2007-10-29 12:30,1.160
2007-10-29 12:36,1.225
2007-10-29 12:42,1.290
2007-10-29 12:48,1.356
2007-10-29 12:54,1.421
2007-10-29 13:00,1.486
2007-10-29 13:06,1.550
2007-10-29 13:12,1.615
2007-10-29 13:18,1.678
2007-10-29 13:24,1.741
2007-10-29 13:30,1.804
2007-10-29 13:36,1.865
2007-10-29 13:42,1.926
2007-10-29 13:48,1.986
2007-10-29 13:54,2.045
2007-10-29 14:00,2.103
2007-10-29 14:06,2.160
2007-10-29 14:12,2.216
2007-10-29 14:18,2.270
2007-10-29 14:24,2.323
2007-10-29 14:30,2.375
2007-10-29 14:36,2.425
2007-10-29 14:42,2.473
2007-10-29 14:48,2.519
2007-10-29 14:54,2.563
2007-10-29 15:00,2.604
2007-10-29 15:06,2.644
2007-10-29 15:12,2.680
2007-10-29 15:18,2.714
2007-10-29 15:24,2.745
2007-10-29 15:30,2.773
2007-10-29 15:36,2.797
2007-10-29 15:42,2.818
2007-10-29 15:48,2.835
2007-10-29 15:54,2.849
2007-10-29 16:00,2.859
2007-10-29 16:06,2.865
2007-10-29 16:12,2.867
2007-10-29 16:18,2.864
2007-10-29 16:24,2.858
2007-10-29 16:30,2.848
2007-10-29 16:36,2.834
2007-10-29 16:42,2.816
2007-10-29 16:48,2.793
2007-10-29 16:54,2.768
2007-10-29 17:00,2.738
2007-10-29 17:06,2.705
2007-10-29 17:12,2.669
2007-10-29 17:18,2.630
2007-10-29 17:24,2.587
2007-10-29 17:30,2.543
2007-10-29 17:36,2.495
2007-10-29 17:42,2.446
2007-10-29 17:48,2.395
2007-10-29 17:54,2.342
2007-10-29 18:00,2.288
2007-10-29 18:06,2.233
2007-10-29 18:12,2.177
2007-10-29 18:18,2.120
2007-10-29 18:24,2.063
2007-10-29 18:30,2.006
2007-10-29 18:36,1.949
2007-10-29 18:42,1.892
2007-10-29 18:48,1.836
2007-10-29 18:54,1.780
2007-10-29 19:00,1.725
2007-10-29 19:06,1.670
2007-10-29 19:12,1.617
2007-10-29 19:18,1.564
2007-10-29 19:24,1.512
2007-10-29 19:30,1.462
2007-10-29 19:36,1.412
2007-10-29 19:42,1.363
2007-10-29 19:48,1.316
2007-10-29 19:54,1.269
2007-10-29 20:00,1.224
2007-10-29 20:06,1.180
2007-10-29 20:12,1.136
2007-10-29 20:18,1.094
2007-10-29 20:24,1.053
2007-10-29 20:30,1.013
2007-10-29 20:36,0.974
2007-10-29 20:42,0.937
